prot_id,name,function,compartment,kind,pdb_id,biosynthesis,seq_length
DNA_GYRASE,DNA gyrase,DNA replication/maintenance,c,complex,6RKW,(2.0)MG_003_MONOMER'+ '(2.0)MG_004_MONOMER',
DNA_POLYMERASE_2CORE_BETA_CLAMP_GAMMA_COMPLEX_PRIMASE,DNA polymerase (2) core; beta-clamp; epsilon-complex; and primase,DNA replication/maintenance,c,complex,,(2.0)DNA_POLYMERASE_CORE'+ '(1.0)DNA_POLYMERASE_GAMMA_COMPLEX'+ '(2.0)MG_001_MONOMER'+ '(1.0)MG_250_MONOMER',
DNA_POLYMERASE_CORE,DNA-directed DNA polymerase,DNA replication/maintenance,c,complex,5FKW,(1.0)MG_031_MONOMER'+ '(1.0)MG_261_MONOMER',
DNA_POLYMERASE_CORE_BETA_CLAMP_GAMMA_COMPLEX,DNA polymerase core; beta-clamp; epsilon-complex,DNA replication/maintenance,c,complex,,(1.0)DNA_POLYMERASE_CORE'+ '(1.0)DNA_POLYMERASE_GAMMA_COMPLEX'+ '(2.0)MG_001_MONOMER',
DNA_POLYMERASE_CORE_BETA_CLAMP_PRIMASE,DNA polymerase core; beta-clamp; epsilon-complex,DNA replication/maintenance,c,complex,,(1.0)DNA_POLYMERASE_CORE'+ '(2.0)MG_001_MONOMER'+ '(1.0)MG_250_MONOMER',
DNA_POLYMERASE_GAMMA_COMPLEX,DNA-directed DNA polymerase gamma complex,DNA replication/maintenance,c,complex,,(1.0)MG_007_MONOMER'+ '(1.0)MG_315_MONOMER'+ '(4.0)MG_419_MONOMER',
DNA_POLYMERASE_HOLOENZYME,DNA-directed DNA polymerase holoenzyme,DNA replication/maintenance,c,complex,,(2.0)DNA_POLYMERASE_CORE'+ '(1.0)DNA_POLYMERASE_GAMMA_COMPLEX'+ '(2.0)MG_001_MONOMER',
MG_0001_048,signal recognition particle,protein transport/singaling,c,complex,3DM5,(1.0)MG_0001'+ '(1.0)MG_048_MONOMER',
MG_0003_465,ribonuclease P,RNA synthesis/maturation,c,complex,6D1R,(1.0)MG_0003'+ '(1.0)MG_465_MONOMER',
MG_001_DIMER,DNA polymerase III; beta clamp,DNA replication/maintenance,c,complex,,(2.0)MG_001_MONOMER',
MG_001_MONOMER,DNA polymerase III; beta subunit,DNA replication/maintenance,c,monomer,5FKW,,380
MG_002_MONOMER,DnaJ domain protein,protein folding/maturation,c,monomer,,,310
MG_003_MONOMER,DNA gyrase; B subunit,DNA replication/maintenance,c,monomer,6RKW,,650
MG_004_MONOMER,DNA gyrase; A subunit,DNA replication/maintenance,c,monomer,6RKW,,836
MG_005_DIMER,seryl-tRNA synthetase,RNA synthesis/maturation,c,complex,,(2.0)MG_005_MONOMER',
MG_005_MONOMER,seryl-tRNA synthetase,RNA synthesis/maturation,c,monomer,,,417
MG_006_DIMER,thymidylate kinase,metabolism,c,complex,,(2.0)MG_006_MONOMER',
MG_006_MONOMER,thymidylate kinase,metabolism,c,monomer,,,210
MG_007_MONOMER,DNA polymerase III delta prime subunit; putative,DNA replication/maintenance,c,monomer,1JR3,,254
MG_008_379_TETRAMER,tRNA uridine 5-carboxymethylaminomethyl modification enzyme,RNA synthesis/maturation,c,complex,,(2.0)MG_008_MONOMER'+ '(2.0)MG_379_MONOMER',
MG_008_MONOMER,tRNA modification GTPase TrmE,RNA synthesis/maturation,c,monomer,3GEH,,442
MG_009_MONOMER,deoxyribonuclease,DNA replication/maintenance,c,monomer,,,262
MG_010_MONOMER,DNA primase-related protein,DNA replication/maintenance,c,monomer,,,218
MG_011_MONOMER,alpha-L-glutamate ligase; S6 ribosomal protein modification,protein folding/maturation,c,monomer,,,287
MG_012_MONOMER,alpha-L-glutamate ligase,protein folding/maturation,c,monomer,,,287
MG_013_DIMER,methylenetetrahydrofolate dehydrogenase/methylenetetrahydrofolate cyclohydrolase,metabolism,c,complex,,(2.0)MG_013_MONOMER',
MG_013_MONOMER,methylenetetrahydrofolate dehydrogenase/methylenetetrahydrofolate cyclohydrolase,metabolism,c,monomer,,,273
MG_014_015_DIMER,multidrug ABC transporter,protein transport/singaling,m,complex,4Q4H,(1.0)MG_014_MONOMER'+ '(1.0)MG_015_MONOMER',
MG_014_MONOMER,multidrug ABC transporter; ATP-binding/permease protein,protein transport/singaling,c,monomer,4Q4H,,623
MG_015_MONOMER,multidrug ABC transporter; ATP-binding/permease protein,protein transport/singaling,c,monomer,4Q4H,,589
MG_018_MONOMER,SNF2 family helicase putative,DNA replication/maintenance,c,monomer,,,1031
MG_019_DIMER,chaperone protein DnaJ,protein folding/maturation,c,complex,,(2.0)MG_019_MONOMER',
MG_019_MONOMER,chaperone protein DnaJ,protein folding/maturation,c,monomer,,,389
MG_020_MONOMER,proline iminopeptidase,protein folding/maturation,c,monomer,,,308
MG_021_DIMER,methionyl-tRNA synthetase,RNA synthesis/maturation,c,complex,,(2.0)MG_021_MONOMER',
MG_021_MONOMER,methionyl-tRNA synthetase,RNA synthesis/maturation,c,monomer,,,512
MG_022_MONOMER,DNA-directed RNA polymerase; delta subunit,transcription,c,monomer,,,145
MG_023_DIMER,fructose-1;6-bisphosphate aldolase; class II,metabolism,c,complex,,(2.0)MG_023_MONOMER',
MG_023_MONOMER,fructose-1;6-bisphosphate aldolase; class II,metabolism,c,monomer,,,288
MG_024_MONOMER,GTP-binding protein YchF,translation,c,monomer,,,367
MG_025_MONOMER,Beta-glycosyl transferase,metabolism,c,monomer,,,298
MG_026_MONOMER,translation elongation factor P,translation,c,monomer,,,190
MG_027_MONOMER,transcription termination/antitermination protein NusB,transcription,c,monomer,1Q8C,,151
MG_028_MONOMER,,MG-specific,m,monomer,,,201
MG_029_DIMER,DJ-1/PfpI family protein,metabolism,c,complex,,(2.0)MG_029_MONOMER',
MG_029_MONOMER,DJ-1/PfpI family protein,metabolism,c,monomer,,,186
MG_030_MONOMER,uracil phosphoribosyltransferase,metabolism,c,monomer,,,206
MG_030_TRIMER,uracil phosphoribosyltransferase,metabolism,c,complex,,(3.0)MG_030_MONOMER',
MG_031_MONOMER,DNA polymerase III; alpha subunit; Gram-positive type,DNA replication/maintenance,c,monomer,3F2B,,1451
MG_032_MONOMER,cell adhesion protein/membrane export protein,cytokinesis/motility,e,monomer,,,666
MG_033_MONOMER,glycerol uptake facilitator,protein transport/singaling,c,monomer,,,258
MG_033_TETRAMER,glycerol uptake facilitator,protein transport/singaling,m,complex,,(4.0)MG_033_MONOMER',
MG_034_DIMER,thymidine kinase,metabolism,c,complex,,(2.0)MG_034_MONOMER',
MG_034_MONOMER,thymidine kinase,metabolism,c,monomer,,,213
MG_035_DIMER,histidyl-tRNA synthetase,RNA synthesis/maturation,c,complex,,(2.0)MG_035_MONOMER',
MG_035_MONOMER,histidyl-tRNA synthetase,RNA synthesis/maturation,c,monomer,,,414
MG_036_DIMER,aspartyl-tRNA synthetase,RNA synthesis/maturation,c,complex,,(2.0)MG_036_MONOMER',
